STATION,CRYPT,CORE,SWPW,COLLECT_DATE,TEST_NAME,VALUE,UNITS
C2C5,2,5,PW,09/ 7/2014 13:39,ALKA,161,mg/L
C2C5,2,5,PW,09/15/2014 13:12,ALKA,143,mg/L
C2C5,2,5,PW,09/21/2014 18:42,ALKA,147,mg/L
C2C5,2,5,PW,09/29/2014 09:06,ALKA,138,mg/L
C2C5,2,5,PW,10/ 5/2014 10:00,ALKA,142,mg/L
C2C5,2,5,PW,10/13/2014 08:32,ALKA,147,mg/L
C2C5,2,5,PW,10/20/2014 10:00,ALKA,64,mg/L
C2C5,2,5,PW,10/27/2014 09:10,ALKA,156,mg/L
C2C5,2,5,PW,11/ 3/2014 08:51,ALKA,137,mg/L
C2C5,2,5,PW,11/10/2014 13:00,ALKA,33,mg/L
C2C5,2,5,PW,11/17/2014 07:54,ALKA,146,mg/L
C2C5,2,5,PW,11/23/2014 13:00,ALKA,137.3,mg/L
C2C5,2,5,PW,12/ 1/2014 12:00,ALKA,116.35,mg/L
C2C6,2,6,PW,09/ 7/2014 13:50,ALKA,155,mg/L
C2C6,2,6,PW,09/15/2014 13:18,ALKA,105,mg/L
C2C6,2,6,PW,09/21/2014 18:45,ALKA,121,mg/L
C2C6,2,6,PW,09/29/2014 09:06,ALKA,134,mg/L
C2C6,2,6,PW,10/ 5/2014 10:00,ALKA,141,mg/L
C2C6,2,6,PW,10/13/2014 08:33,ALKA,152,mg/L
C2C6,2,6,PW,10/20/2014 10:00,ALKA,62,mg/L
C2C6,2,6,PW,10/27/2014 09:13,ALKA,153,mg/L
C2C6,2,6,PW,11/ 3/2014 08:53,ALKA,132,mg/L
C2C6,2,6,PW,11/10/2014 13:00,ALKA,33,mg/L
C2C6,2,6,PW,11/17/2014 07:56,ALKA,147,mg/L
C2C6,2,6,PW,11/23/2014 13:00,ALKA,112.7,mg/L
C2C6,2,6,PW,12/ 1/2014 12:00,ALKA,123.92,mg/L
C2C7,2,7,PW,09/ 7/2014 13:59,ALKA,150,mg/L
C2C7,2,7,PW,09/15/2014 13:27,ALKA,118,mg/L
C2C7,2,7,PW,09/21/2014 19:03,ALKA,159,mg/L
C2C7,2,7,PW,09/29/2014 09:09,ALKA,102,mg/L
C2C7,2,7,PW,10/ 5/2014 10:00,ALKA,147,mg/L
C2C7,2,7,PW,10/13/2014 08:35,ALKA,136,mg/L
C2C7,2,7,PW,10/20/2014 10:00,ALKA,98,mg/L
C2C7,2,7,PW,10/27/2014 09:15,ALKA,147,mg/L
C2C7,2,7,PW,11/ 3/2014 08:55,ALKA,135,mg/L
C2C7,2,7,PW,11/10/2014 13:00,ALKA,110,mg/L
C2C7,2,7,PW,11/17/2014 07:57,ALKA,152,mg/L
C2C7,2,7,PW,11/23/2014 13:00,ALKA,108.8,mg/L
C2C7,2,7,PW,12/ 1/2014 12:00,ALKA,90.07,mg/L
C2C8,2,8,PW,09/ 7/2014 14:10,ALKA,159,mg/L
C2C8,2,8,PW,09/15/2014 13:30,ALKA,141,mg/L
C2C8,2,8,PW,09/21/2014 19:05,ALKA,138,mg/L
C2C8,2,8,PW,09/29/2014 09:11,ALKA,163,mg/L
C2C8,2,8,PW,10/ 5/2014 10:00,ALKA,147,mg/L
C2C8,2,8,PW,10/13/2014 08:37,ALKA,155,mg/L
C2C8,2,8,PW,10/20/2014 10:00,ALKA,108,mg/L
C2C8,2,8,PW,10/27/2014 09:18,ALKA,159,mg/L
C2C8,2,8,PW,11/ 3/2014 08:57,ALKA,144,mg/L
C2C8,2,8,PW,11/10/2014 13:00,ALKA,117,mg/L
C2C8,2,8,PW,11/17/2014 07:59,ALKA,143,mg/L
C2C8,2,8,PW,11/23/2014 13:00,ALKA,121.72,mg/L
C2C8,2,8,PW,12/ 1/2014 12:00,ALKA,99.47,mg/L
C3C10,3,10,PW,09/ 7/2014 14:30,ALKA,147,mg/L
C3C10,3,10,PW,09/15/2014 13:59,ALKA,98,mg/L
C3C10,3,10,PW,09/21/2014 19:27,ALKA,156,mg/L
C3C10,3,10,PW,09/29/2014 09:33,ALKA,97,mg/L
C3C10,3,10,PW,10/ 5/2014 10:00,ALKA,137,mg/L
C3C10,3,10,PW,10/13/2014 08:57,ALKA,140,mg/L
C3C10,3,10,PW,10/20/2014 10:00,ALKA,110,mg/L
C3C10,3,10,PW,10/27/2014 09:40,ALKA,156,mg/L
C3C10,3,10,PW,11/ 3/2014 09:17,ALKA,146,mg/L
C3C10,3,10,PW,11/10/2014 13:00,ALKA,92,mg/L
C3C10,3,10,PW,11/17/2014 08:21,ALKA,145,mg/L
C3C10,3,10,PW,11/23/2014 13:00,ALKA,149.77,mg/L
C3C10,3,10,PW,12/ 1/2014 12:00,ALKA,141.45,mg/L
C3C11,3,11,PW,09/ 7/2014 14:39,ALKA,153,mg/L
C3C11,3,11,PW,09/15/2014 14:01,ALKA,87,mg/L
C3C11,3,11,PW,09/21/2014 19:39,ALKA,146,mg/L
C3C11,3,11,PW,09/29/2014 09:35,ALKA,144,mg/L
C3C11,3,11,PW,10/ 5/2014 10:00,ALKA,133,mg/L
C3C11,3,11,PW,10/13/2014 08:59,ALKA,147,mg/L
C3C11,3,11,PW,10/20/2014 10:00,ALKA,100,mg/L
C3C11,3,11,PW,10/27/2014 09:42,ALKA,151,mg/L
C3C11,3,11,PW,11/ 3/2014 09:20,ALKA,141,mg/L
C3C11,3,11,PW,11/10/2014 13:00,ALKA,136,mg/L
C3C11,3,11,PW,11/17/2014 08:24,ALKA,145,mg/L
C3C11,3,11,PW,11/23/2014 13:00,ALKA,138.55,mg/L
C3C11,3,11,PW,12/ 1/2014 12:00,ALKA,138.81,mg/L
C3C12,3,12,PW,09/ 7/2014 14:50,ALKA,146,mg/L
C3C12,3,12,PW,09/15/2014 14:06,ALKA,99,mg/L
C3C12,3,12,PW,09/22/2014 07:54,ALKA,154,mg/L
C3C12,3,12,PW,09/29/2014 09:36,ALKA,154,mg/L
C3C12,3,12,PW,10/ 5/2014 10:00,ALKA,134,mg/L
C3C12,3,12,PW,10/13/2014 09:01,ALKA,148,mg/L
C3C12,3,12,PW,10/20/2014 10:00,ALKA,79,mg/L
C3C12,3,12,PW,10/27/2014 09:45,ALKA,158,mg/L
C3C12,3,12,PW,11/ 3/2014 09:22,ALKA,154,mg/L
C3C12,3,12,PW,11/10/2014 13:00,ALKA,33,mg/L
C3C12,3,12,PW,11/17/2014 08:26,ALKA,146,mg/L
C3C12,3,12,PW,11/23/2014 13:00,ALKA,142.55,mg/L
C3C12,3,12,PW,12/ 1/2014 12:00,ALKA,134.44,mg/L
C3C9,3,9,PW,09/ 7/2014 14:19,ALKA,148,mg/L
C3C9,3,9,PW,09/15/2014 13:54,ALKA,105,mg/L
C3C9,3,9,PW,09/21/2014 19:56,ALKA,127,mg/L
C3C9,3,9,PW,09/29/2014 09:31,ALKA,94,mg/L
C3C9,3,9,PW,10/ 5/2014 10:00,ALKA,111,mg/L
C3C9,3,9,PW,10/13/2014 08:55,ALKA,130,mg/L
C3C9,3,9,PW,10/20/2014 10:00,ALKA,76,mg/L
C3C9,3,9,PW,10/27/2014 09:38,ALKA,146,mg/L
C3C9,3,9,PW,11/ 3/2014 09:13,ALKA,141,mg/L
C3C9,3,9,PW,11/10/2014 13:00,ALKA,76,mg/L
C3C9,3,9,PW,11/17/2014 08:19,ALKA,135,mg/L
C3C9,3,9,PW,11/23/2014 13:00,ALKA,99.76,mg/L
C3C9,3,9,PW,12/ 1/2014 12:00,ALKA,135.37,mg/L
C4C13,4,13,PW,09/ 7/2014 15:00,ALKA,156,mg/L
C4C13,4,13,PW,09/15/2014 14:10,ALKA,2,mg/L
C4C13,4,13,PW,09/21/2014 19:32,ALKA,146,mg/L
C4C13,4,13,PW,09/29/2014 09:56,ALKA,144,mg/L
C4C13,4,13,PW,10/ 5/2014 10:00,ALKA,126,mg/L
C4C13,4,13,PW,10/13/2014 09:38,ALKA,134,mg/L
C4C13,4,13,PW,10/20/2014 10:00,ALKA,80,mg/L
C4C13,4,13,PW,10/27/2014 10:27,ALKA,150,mg/L
C4C13,4,13,PW,11/ 3/2014 09:51,ALKA,138,mg/L
C4C13,4,13,PW,11/10/2014 13:00,ALKA,87,mg/L
C4C13,4,13,PW,11/17/2014 09:04,ALKA,135,mg/L
C4C13,4,13,PW,11/23/2014 13:00,ALKA,102.08,mg/L
C4C13,4,13,PW,12/ 1/2014 12:00,ALKA,140.46,mg/L
C4C14,4,14,PW,09/ 7/2014 15:10,ALKA,156,mg/L
C4C14,4,14,PW,09/15/2014 14:15,ALKA,140,mg/L
C4C14,4,14,PW,09/21/2014 19:43,ALKA,136,mg/L
C4C14,4,14,PW,09/29/2014 09:58,ALKA,136,mg/L
C4C14,4,14,PW,10/ 5/2014 10:00,ALKA,134,mg/L
C4C14,4,14,PW,10/13/2014 09:40,ALKA,148,mg/L
C4C14,4,14,PW,10/20/2014 10:00,ALKA,90,mg/L
C4C14,4,14,PW,10/27/2014 10:30,ALKA,142,mg/L
C4C14,4,14,PW,11/ 3/2014 09:54,ALKA,135,mg/L
C4C14,4,14,PW,11/10/2014 13:00,ALKA,60,mg/L
C4C14,4,14,PW,11/17/2014 09:06,ALKA,142,mg/L
C4C14,4,14,PW,11/23/2014 13:00,ALKA,106.74,mg/L
C4C14,4,14,PW,12/ 1/2014 12:00,ALKA,126.36,mg/L
C4C15,4,15,PW,09/ 7/2014 15:20,ALKA,158,mg/L
C4C15,4,15,PW,09/15/2014 14:24,ALKA,117,mg/L
C4C15,4,15,PW,09/22/2014 07:57,ALKA,138,mg/L
C4C15,4,15,PW,09/29/2014 10:00,ALKA,134,mg/L
C4C15,4,15,PW,10/ 5/2014 10:00,ALKA,137,mg/L
C4C15,4,15,PW,10/13/2014 09:42,ALKA,136,mg/L
C4C15,4,15,PW,10/20/2014 10:00,ALKA,114,mg/L
C4C15,4,15,PW,10/27/2014 10:32,ALKA,143,mg/L
C4C15,4,15,PW,11/ 3/2014 09:56,ALKA,134,mg/L
C4C15,4,15,PW,11/10/2014 13:00,ALKA,114,mg/L
C4C15,4,15,PW,11/17/2014 09:09,ALKA,151,mg/L
C4C15,4,15,PW,11/23/2014 13:00,ALKA,144.89,mg/L
C4C15,4,15,PW,12/ 1/2014 12:00,ALKA,130.07,mg/L
C4C16,4,16,PW,09/ 7/2014 15:29,ALKA,148,mg/L
C4C16,4,16,PW,09/15/2014 14:30,ALKA,103,mg/L
C4C16,4,16,PW,09/22/2014 07:59,ALKA,139,mg/L
C4C16,4,16,PW,09/29/2014 10:03,ALKA,136,mg/L
C4C16,4,16,PW,10/ 5/2014 10:00,ALKA,131,mg/L
C4C16,4,16,PW,10/13/2014 09:44,ALKA,144,mg/L
C4C16,4,16,PW,10/20/2014 10:00,ALKA,98,mg/L
C4C16,4,16,PW,10/27/2014 10:34,ALKA,148,mg/L
C4C16,4,16,PW,11/ 3/2014 09:56,ALKA,137,mg/L
C4C16,4,16,PW,11/10/2014 13:00,ALKA,32,mg/L
C4C16,4,16,PW,11/17/2014 09:11,ALKA,144,mg/L
C4C16,4,16,PW,11/23/2014 13:00,ALKA,145.38,mg/L
C4C16,4,16,PW,12/ 1/2014 12:00,ALKA,96.98,mg/L
C5C17,5,17,PW,09/ 7/2014 15:40,ALKA,135,mg/L
C5C17,5,17,PW,09/15/2014 14:35,ALKA,103,mg/L
C5C17,5,17,PW,09/23/2014 11:19,ALKA,143,mg/L
C5C17,5,17,PW,09/29/2014 10:12,ALKA,144,mg/L
C5C17,5,17,PW,10/ 5/2014 10:00,ALKA,138,mg/L
C5C17,5,17,PW,10/13/2014 10:11,ALKA,137,mg/L
C5C17,5,17,PW,10/20/2014 10:00,ALKA,113,mg/L
C5C17,5,17,PW,10/27/2014 11:17,ALKA,157,mg/L
C5C17,5,17,PW,11/ 3/2014 10:45,ALKA,128,mg/L
C5C17,5,17,PW,11/10/2014 13:00,ALKA,24,mg/L
C5C17,5,17,PW,11/17/2014 09:33,ALKA,144,mg/L
C5C17,5,17,PW,11/23/2014 13:00,ALKA,142.69,mg/L
C5C17,5,17,PW,12/ 1/2014 12:00,ALKA,136.63,mg/L
C5C18,5,18,PW,09/ 7/2014 15:49,ALKA,139,mg/L
C5C18,5,18,PW,09/15/2014 14:50,ALKA,110,mg/L
C5C18,5,18,PW,09/23/2014 11:30,ALKA,138,mg/L
C5C18,5,18,PW,09/29/2014 10:20,ALKA,107,mg/L
C5C18,5,18,PW,10/ 5/2014 10:00,ALKA,123,mg/L
C5C18,5,18,PW,10/13/2014 10:12,ALKA,136,mg/L
C5C18,5,18,PW,10/20/2014 10:00,ALKA,136,mg/L
C5C18,5,18,PW,10/27/2014 11:19,ALKA,146,mg/L
C5C18,5,18,PW,11/ 3/2014 10:47,ALKA,148,mg/L
C5C18,5,18,PW,11/10/2014 13:00,ALKA,129,mg/L
C5C18,5,18,PW,11/17/2014 09:36,ALKA,135,mg/L
C5C18,5,18,PW,11/23/2014 13:00,ALKA,91.56,mg/L
C5C18,5,18,PW,12/ 1/2014 12:00,ALKA,129.33,mg/L
C5C19,5,19,PW,09/ 7/2014 16:00,ALKA,151,mg/L
C5C19,5,19,PW,09/15/2014 15:00,ALKA,102,mg/L
C5C19,5,19,PW,09/23/2014 11:32,ALKA,132,mg/L
C5C19,5,19,PW,09/29/2014 10:25,ALKA,125,mg/L
C5C19,5,19,PW,10/ 5/2014 10:00,ALKA,134,mg/L
C5C19,5,19,PW,10/13/2014 10:14,ALKA,138,mg/L
C5C19,5,19,PW,10/20/2014 10:00,ALKA,132,mg/L
C5C19,5,19,PW,10/27/2014 11:21,ALKA,142,mg/L
C5C19,5,19,PW,11/ 3/2014 10:48,ALKA,139,mg/L
C5C19,5,19,PW,11/10/2014 13:00,ALKA,112,mg/L
C5C19,5,19,PW,11/17/2014 09:38,ALKA,147,mg/L
C5C19,5,19,PW,11/23/2014 13:00,ALKA,139.05,mg/L
C5C19,5,19,PW,12/ 1/2014 12:00,ALKA,146.97,mg/L
C5C20,5,20,PW,09/ 7/2014 16:09,ALKA,131,mg/L
C5C20,5,20,PW,09/15/2014 15:02,ALKA,89,mg/L
C5C20,5,20,PW,09/23/2014 11:35,ALKA,131,mg/L
C5C20,5,20,PW,09/29/2014 10:32,ALKA,113,mg/L
C5C20,5,20,PW,10/ 5/2014 10:00,ALKA,120,mg/L
C5C20,5,20,PW,10/13/2014 10:16,ALKA,132,mg/L
C5C20,5,20,PW,10/20/2014 10:00,ALKA,152,mg/L
C5C20,5,20,PW,10/27/2014 11:23,ALKA,139,mg/L
C5C20,5,20,PW,11/ 3/2014 10:50,ALKA,131,mg/L
C5C20,5,20,PW,11/10/2014 13:00,ALKA,2,mg/L
C5C20,5,20,PW,11/17/2014 09:40,ALKA,133,mg/L
C5C20,5,20,PW,11/23/2014 13:00,ALKA,95.86,mg/L
C5C20,5,20,PW,12/ 1/2014 12:00,ALKA,121.65,mg/L
C6C21,6,21,PW,09/ 7/2014 16:20,ALKA,155,mg/L
C6C21,6,21,PW,09/15/2014 15:04,ALKA,114,mg/L
C6C21,6,21,PW,09/23/2014 13:30,ALKA,140,mg/L
C6C21,6,21,PW,09/29/2014 10:41,ALKA,143,mg/L
C6C21,6,21,PW,10/ 5/2014 10:00,ALKA,136,mg/L
C6C21,6,21,PW,10/13/2014 10:41,ALKA,149,mg/L
C6C21,6,21,PW,10/20/2014 10:00,ALKA,110,mg/L
C6C21,6,21,PW,10/27/2014 11:44,ALKA,128,mg/L
C6C21,6,21,PW,11/ 3/2014 11:08,ALKA,120,mg/L
C6C21,6,21,PW,11/10/2014 13:00,ALKA,88,mg/L
C6C21,6,21,PW,11/17/2014 10:12,ALKA,142,mg/L
C6C21,6,21,PW,11/24/2014 13:00,ALKA,136.32,mg/L
C6C21,6,21,PW,12/ 1/2014 12:00,ALKA,125.55,mg/L
C6C22,6,22,PW,09/ 7/2014 16:30,ALKA,153,mg/L
C6C22,6,22,PW,09/15/2014 15:06,ALKA,110,mg/L
C6C22,6,22,PW,09/23/2014 13:39,ALKA,139,mg/L
C6C22,6,22,PW,09/29/2014 11:19,ALKA,143,mg/L
C6C22,6,22,PW,10/ 5/2014 10:00,ALKA,136,mg/L
C6C22,6,22,PW,10/13/2014 10:43,ALKA,141,mg/L
C6C22,6,22,PW,10/20/2014 10:00,ALKA,113,mg/L
C6C22,6,22,PW,10/27/2014 11:46,ALKA,146,mg/L
C6C22,6,22,PW,11/ 3/2014 11:08,ALKA,141,mg/L
C6C22,6,22,PW,11/10/2014 13:00,ALKA,34,mg/L
C6C22,6,22,PW,11/17/2014 10:14,ALKA,134,mg/L
C6C22,6,22,PW,11/23/2014 13:00,ALKA,102.13,mg/L
C6C22,6,22,PW,12/ 1/2014 12:00,ALKA,102.69,mg/L
C6C23,6,23,PW,09/ 7/2014 16:40,ALKA,168,mg/L
C6C23,6,23,PW,09/15/2014 15:11,ALKA,86,mg/L
C6C23,6,23,PW,09/29/2014 11:21,ALKA,135,mg/L
C6C23,6,23,PW,10/ 5/2014 10:00,ALKA,148,mg/L
C6C23,6,23,PW,10/13/2014 10:47,ALKA,157,mg/L
C6C23,6,23,PW,10/20/2014 10:00,ALKA,70,mg/L
C6C23,6,23,PW,10/27/2014 11:46,ALKA,156,mg/L
C6C23,6,23,PW,11/ 3/2014 11:12,ALKA,136,mg/L
C6C23,6,23,PW,11/10/2014 13:00,ALKA,143,mg/L
C6C23,6,23,PW,11/17/2014 10:16,ALKA,156,mg/L
C6C23,6,23,PW,11/23/2014 13:00,ALKA,147.93,mg/L
C6C23,6,23,PW,12/ 1/2014 12:00,ALKA,158.85,mg/L
C6C24,6,24,PW,09/ 7/2014 16:50,ALKA,169,mg/L
C6C24,6,24,PW,09/15/2014 15:15,ALKA,84,mg/L
C6C24,6,24,PW,09/29/2014 11:24,ALKA,157,mg/L
C6C24,6,24,PW,10/ 5/2014 10:00,ALKA,123,mg/L
C6C24,6,24,PW,10/13/2014 10:45,ALKA,152,mg/L
C6C24,6,24,PW,10/20/2014 10:00,ALKA,104,mg/L
C6C24,6,24,PW,10/27/2014 11:48,ALKA,124,mg/L
C6C24,6,24,PW,11/ 3/2014 11:14,ALKA,139,mg/L
C6C24,6,24,PW,11/10/2014 13:00,ALKA,32,mg/L
C6C24,6,24,PW,11/17/2014 10:20,ALKA,137,mg/L
C6C24,6,24,PW,11/23/2014 13:00,ALKA,139.13,mg/L
C6C24,6,24,PW,12/ 1/2014 12:00,ALKA,144.92,mg/L
C1C1,1,1,PW,09/ 7/2014 13:00,CL,12014,mg/L
C1C1,1,1,PW,09/15/2014 10:38,CL,12479,mg/L
C1C1,1,1,PW,09/21/2014 18:26,CL,11737,mg/L
C1C1,1,1,PW,09/29/2014 08:50,CL,11436,mg/L
C1C1,1,1,PW,10/ 5/2014 10:00,CL,12202,mg/L
C1C1,1,1,PW,10/13/2014 07:54,CL,11832,mg/L
C1C1,1,1,PW,10/20/2014 10:00,CL,13008,mg/L
C1C1,1,1,PW,10/27/2014 08:37,CL,12317,mg/L
C1C1,1,1,PW,11/ 3/2014 08:26,CL,11402,mg/L
C1C1,1,1,PW,11/10/2014 13:00,CL,11877,mg/L
C1C1,1,1,PW,11/17/2014 07:32,CL,11449,mg/L
C1C1,1,1,PW,11/23/2014 13:00,CL,11528.296,mg/L
C1C1,1,1,PW,12/ 1/2014 12:00,CL,10779.517,mg/L
C1C2,1,2,PW,09/ 7/2014 13:09,CL,11764,mg/L
C1C2,1,2,PW,09/15/2014 10:43,CL,11762,mg/L
C1C2,1,2,PW,09/21/2014 18:27,CL,11618,mg/L
C1C2,1,2,PW,09/29/2014 08:35,CL,11331,mg/L
C1C2,1,2,PW,10/ 5/2014 10:00,CL,11668,mg/L
C1C2,1,2,PW,10/13/2014 07:56,CL,12369,mg/L
C1C2,1,2,PW,10/20/2014 10:00,CL,12207,mg/L
C1C2,1,2,PW,10/27/2014 08:41,CL,11572,mg/L
C1C2,1,2,PW,11/ 3/2014 08:28,CL,12037,mg/L
C1C2,1,2,PW,11/10/2014 13:00,CL,12167,mg/L
C1C2,1,2,PW,11/17/2014 07:34,CL,11872,mg/L
C1C2,1,2,PW,11/23/2014 13:00,CL,11297.012,mg/L
C1C2,1,2,PW,12/ 1/2014 12:00,CL,11176.259,mg/L
C1C3,1,3,PW,09/ 7/2014 13:20,CL,11584,mg/L
C1C3,1,3,PW,09/15/2014 10:48,CL,12880,mg/L
C1C3,1,3,PW,09/21/2014 18:47,CL,11807,mg/L
C1C3,1,3,PW,09/29/2014 08:37,CL,11908,mg/L
C1C3,1,3,PW,10/ 5/2014 10:00,CL,11848,mg/L
C1C3,1,3,PW,10/13/2014 07:57,CL,11902,mg/L
C1C3,1,3,PW,10/20/2014 10:00,CL,12052,mg/L
C1C3,1,3,PW,10/27/2014 08:42,CL,12392,mg/L
C1C3,1,3,PW,11/ 3/2014 08:30,CL,12954,mg/L
C1C3,1,3,PW,11/10/2014 13:00,CL,11942,mg/L
C1C3,1,3,PW,11/17/2014 07:36,CL,11541,mg/L
C1C3,1,3,PW,11/23/2014 13:00,CL,11617.817,mg/L
C1C3,1,3,PW,12/ 1/2014 12:00,CL,11801.458,mg/L
C1C4,1,4,PW,09/ 7/2014 13:30,CL,11584,mg/L
C1C4,1,4,PW,09/15/2014 10:52,CL,13800,mg/L
C1C4,1,4,PW,09/21/2014 19:09,CL,11818,mg/L
C1C4,1,4,PW,09/29/2014 08:39,CL,10896,mg/L
C1C4,1,4,PW,10/ 5/2014 10:00,CL,11658,mg/L
C1C4,1,4,PW,10/13/2014 07:59,CL,11267,mg/L
C1C4,1,4,PW,10/20/2014 10:00,CL,12568,mg/L
C1C4,1,4,PW,10/27/2014 08:46,CL,12046,mg/L
C1C4,1,4,PW,11/ 3/2014 08:33,CL,11412,mg/L
C1C4,1,4,PW,11/10/2014 13:00,CL,11927,mg/L
C1C4,1,4,PW,11/17/2014 07:38,CL,12142,mg/L
C1C4,1,4,PW,11/23/2014 13:00,CL,11333.325,mg/L
C1C4,1,4,PW,12/ 1/2014 12:00,CL,10993.721,mg/L
C2C5,2,5,PW,09/ 7/2014 13:39,CL,6006,mg/L
C2C5,2,5,PW,09/15/2014 13:12,CL,5770,mg/L
C2C5,2,5,PW,09/21/2014 18:42,CL,5590,mg/L
C2C5,2,5,PW,09/29/2014 09:06,CL,5285,mg/L
C2C5,2,5,PW,10/ 5/2014 10:00,CL,6616,mg/L
C2C5,2,5,PW,10/13/2014 08:32,CL,5955,mg/L
C2C5,2,5,PW,10/20/2014 10:00,CL,5624,mg/L
C2C5,2,5,PW,10/27/2014 09:10,CL,5818,mg/L
C2C5,2,5,PW,11/ 3/2014 08:51,CL,5725,mg/L
C2C5,2,5,PW,11/10/2014 13:00,CL,5450,mg/L
C2C5,2,5,PW,11/17/2014 07:54,CL,5772,mg/L
C2C5,2,5,PW,11/23/2014 13:00,CL,5690.543,mg/L
C2C5,2,5,PW,12/ 1/2014 12:00,CL,5587.74,mg/L
C2C6,2,6,PW,09/ 7/2014 13:50,CL,5893,mg/L
C2C6,2,6,PW,09/15/2014 13:18,CL,5938,mg/L
C2C6,2,6,PW,09/21/2014 18:45,CL,5688,mg/L
C2C6,2,6,PW,09/29/2014 09:06,CL,5531,mg/L
C2C6,2,6,PW,10/ 5/2014 10:00,CL,6268,mg/L
C2C6,2,6,PW,10/13/2014 08:33,CL,5776,mg/L
C2C6,2,6,PW,10/20/2014 10:00,CL,5578,mg/L
C2C6,2,6,PW,10/27/2014 09:13,CL,6288,mg/L
C2C6,2,6,PW,11/ 3/2014 08:53,CL,5435,mg/L
C2C6,2,6,PW,11/10/2014 13:00,CL,5452,mg/L
C2C6,2,6,PW,11/17/2014 07:56,CL,6074,mg/L
C2C6,2,6,PW,11/23/2014 13:00,CL,5516.601,mg/L
C2C6,2,6,PW,12/ 1/2014 12:00,CL,5459.919,mg/L
C2C7,2,7,PW,09/ 7/2014 13:59,CL,5670,mg/L
