Date,Chamber,Sipper,PWTime ,PWTemp,PWCond,PWSalinity,PWpH,,,Date,Chamber,SWTime,SWTemp,SWCond,SWSalinity,pH
10/15/2014,9,6,11:58,28.62,0.514,0.25,,,,12/18/2014,8,12:12,19.03,0.53,0.26,
10/15/2014,9,7,12:01,28.65,0.405,0.19,,,,12/18/2014,6,12:25,18.35,0.53,0.26,
10/15/2014,9,8,11:55,28.5,0.391,0.19,,,,12/18/2014,5,No Chamber,,,,
10/15/2014,10,1,11:37,28.71,0.385,0.18,,,,12/18/2014,2,12:59,18.35,0.53,0.26,
10/15/2014,10,5,11:35,28.76,0.41,0.19,,,,12/18/2014,1,No Chamber,,,,
10/15/2014,10,6,11:38,28.83,0.403,0.19,,,,12/18/2014,3,13:24,18.5,0.53,0.26,
10/15/2014,10,7,11:42,28.12,0.472,0.23,,,,12/18/2014,4,No Chamber,,,,
10/15/2014,10,8,11:40,28.41,0.397,0.19,,,,,,,,,,
10/15/2014,11,1,15:08,31.51,1.367,0.68,,,,,,,,,,
10/15/2014,11,2,15:06,31.17,1.97,0.99,,,,,,,,,,
10/15/2014,11,3,15:17,32.09,2.504,1.27,,,,,,,,,,
10/15/2014,11,4,15:18,31.9,1.444,0.72,,,,,,,,,,
10/15/2014,11,5,15:15,31.6,4.56,2.41,,,,,,,,,,
10/15/2014,11,6,15:12,31.33,4.38,2.32,,,,,,,,,,
10/15/2014,11,7,15:13,31.44,4.52,2.59,,,,,,,,,,
10/15/2014,11,8,15:11,30.02,4.233,2.23,,,,,,,,,,
10/15/2014,12,1,14:58,30.98,1.323,0.65,,,,,,,,,,
10/15/2014,12,2,14:56,31.36,2.115,1.07,,,,,,,,,,
10/15/2014,12,3,14:52,32.28,1.224,0.6,,,,,,,,,,
10/15/2014,12,4,14:57,31.05,1.24,0.61,,,,,,,,,,
10/15/2014,12,5,15:04,32.26,3.42,1.77,,,,,,,,,,
10/15/2014,12,6,15:02,31.75,4.265,2.24,,,,,,,,,,
10/15/2014,12,7,15:01,31.06,3.913,2.05,,,,,,,,,,
10/15/2014,12,8,14:59,30.7,3.73,1.95,,,,,,,,,,
10/15/2014,13,1,14:04,30.6,1.113,0.454,,,,,,,,,,
10/15/2014,13,2,14:07,31.72,3.082,1.59,,,,,,,,,,
10/15/2014,13,3,14:08,31.25,2.76,1.43,,,,,,,,,,
10/15/2014,13,4,14:06,32.8,2.72,1.15,,,,,,,,,,
10/15/2014,13,5,14:17,31.22,2.752,1.41,,,,,,,,,,
10/15/2014,13,6,14:25,30.95,3.238,1.68,,,,,,,,,,
10/15/2014,13,7,14:26,31.63,5.371,2.86,,,,,,,,,,
10/15/2014,13,8,14:09,31.94,3.703,1.93,,,,,,,,,,
10/15/2014,14,1,14:40,32.41,1.818,0.91,,,,,,,,,,
10/15/2014,14,2,14:48,32.27,2.246,1.14,,,,,,,,,,
10/15/2014,14,3,14:37,30.67,0.9,0.44,,,,,,,,,,
10/15/2014,14,4,14:45,32.7,1.517,0.75,,,,,,,,,,
10/15/2014,14,5,14:47,31.21,4.316,2.27,,,,,,,,,,
10/15/2014,14,6,14:49,31.86,3.556,1.86,,,,,,,,,,
10/15/2014,14,7,14:41,30.8,3.966,2.08,,,,,,,,,,
10/15/2014,14,8,14:44,32.03,5.113,2.72,,,,,,,,,,
10/15/2014,15,1,13:46,31,0.826,0.4,,,,,,,,,,
10/15/2014,15,2,13:41,32.64,2.24,1.13,,,,,,,,,,
10/15/2014,15,3,13:47,32.22,0.617,0.29,,,,,,,,,,
10/15/2014,15,4,13:49,30.02,0.98,0.48,,,,,,,,,,
10/15/2014,15,5,13:57,33.22,4.245,2.22,,,,,,,,,,
10/15/2014,15,6,13:53,30.54,4.293,2.26,,,,,,,,,,
10/15/2014,15,7,14:04,32.3,6.032,3.24,,,,,,,,,,
10/15/2014,15,8,13:56,32.25,4.105,2.15,,,,,,,,,,
10/15/2014,16,1,14:31,29.86,2.224,1.13,,,,,,,,,,
10/15/2014,16,2,14:24,31.26,2.65,1.3,,,,,,,,,,
10/15/2014,16,3,14:15,32.39,1.171,0.57,,,,,,,,,,
10/15/2014,16,4,14:31,30.44,3.277,1.7,,,,,,,,,,
10/15/2014,16,5,14:37,31.77,5.44,2.9,,,,,,,,,,
10/15/2014,16,6,14:27,29.85,5.86,3.15,,,,,,,,,,
10/15/2014,16,7,14:20,30.05,4.169,2.19,,,,,,,,,,
10/15/2014,16,8,14:39,31.56,3,1.54,,,,,,,,,,
11/19/2014,1,1,10:50,20.31,0.474,0.23,6.85,,,,,,,,,
11/19/2014,1,2,10:49,20.34,0.443,0.21,6.86,,,,,,,,,
11/19/2014,1,3,10:46,19.82,0.525,0.25,6.97,,,,,,,,,
11/19/2014,2,1,10:34,19.12,0.562,0.27,6.94,,,,,,,,,
11/19/2014,2,2,10:32,18.85,1.452,0.72,7.55,,,,,,,,,
11/19/2014,2,3,10:36,19.44,0.48,0.23,7.08,,,,,,,,,
11/19/2014,2,4,10:38,18.31,0.408,0.2,6.93,,,,,,,,,
11/19/2014,2,5,10:40,19.18,0.492,0.24,6.92,,,,,,,,,
11/19/2014,3,1,10:59,20.35,0.484,0.23,6.81,,,,,,,,,
11/19/2014,3,2,10:57,19.41,0.471,0.23,6.95,,,,,,,,,
11/19/2014,3,3,11:05,19.75,0.516,0.25,6.77,,,,,,,,,
11/19/2014,3,4,11:08,20.06,0.486,0.24,6.75,,,,,,,,,
11/19/2014,3,5,11:11,18.75,0.479,0.23,6.76,,,,,,,,,
11/19/2014,4,1,Not Pulling,,,,,,,,,,,,,
11/19/2014,4,2,11:30,19.6,0.468,0.23,6.93,,,,,,,,,
11/19/2014,4,3,11:17,20.35,0.488,0.24,6.89,,,,,,,,,
11/19/2014,5,1,11:50,19.34,0.456,0.22,6.69,,,,,,,,,
11/19/2014,5,2,12:35,18.06,0.462,0.23,6.58,,,,,,,,,
11/19/2014,5,3,12:04,18.1,0.475,0.23,6.56,,,,,,,,,
11/19/2014,6,1,11:36,18.88,0.485,0.23,7.25,,,,,,,,,
11/19/2014,6,2,11:42,18.36,0.467,0.23,6.36,,,,,,,,,
11/19/2014,6,3,11:45,18.35,0.469,0.23,6.6,,,,,,,,,
11/19/2014,6,4,Not Pulling,,,,,,,,,,,,,
11/19/2014,6,5,11:46,18.12,0.478,0.23,6.41,,,,,,,,,
11/19/2014,7,1,11:59,18,0.428,0.21,6.91,,,,,,,,,
11/19/2014,7,2,12:00,17.77,0.474,0.23,6.87,,,,,,,,,
11/19/2014,7,3,12:03,17.62,0.46,0.22,7.04,,,,,,,,,
11/19/2014,8,1,12:11,18.22,0.495,0.24,6.91,,,,,,,,,
11/19/2014,8,2,12:12,18.56,0.452,0.22,6.85,,,,,,,,,
11/19/2014,8,3,12:15,18.5,0.491,0.24,6.63,,,,,,,,,
11/19/2014,8,4,12:16,17.84,0.51,0.25,6.69,,,,,,,,,
11/19/2014,8,5,12:19,18.8,0.522,0.25,6.86,,,,,,,,,
11/19/2014,9,1,12:50,18.38,0.483,0.24,6.77,,,,,,,,,
11/19/2014,9,2,12:41,19.78,0.479,0.23,6.91,,,,,,,,,
11/19/2014,9,3,12:39,19.8,0.482,0.23,6.8,,,,,,,,,
11/19/2014,9,4,12:52,18.57,0.486,0.24,6.73,,,,,,,,,
11/19/2014,9,5,12:40,20.9,0.502,0.24,6.63,,,,,,,,,
11/19/2014,10,1,12:24,18.78,0.481,0.28,7,,,,,,,,,
11/19/2014,10,2,12:36,18.57,0.469,0.23,7.22,,,,,,,,,
11/19/2014,10,3,12:28,19.9,0.526,0.26,6.86,,,,,,,,,
11/19/2014,10,4,12:31,19.42,0.486,0.23,7.02,,,,,,,,,
11/19/2014,10,5,12:33,18.44,0.469,0.23,6.87,,,,,,,,,
11/19/2014,11,1,13:26,20.71,3.808,2.02,6.85,,,,,,,,,
11/19/2014,11,2,13:36,17.14,1.364,0.69,7.04,,,,,,,,,
11/19/2014,11,3,13:59,16.8,7.027,3.88,7,,,,,,,,,
11/19/2014,11,4,13:57,17.24,6.771,3.74,7.01,,,,,,,,,
11/19/2014,11,5,13:46,18.11,4.18,2.23,7.12,,,,,,,,,
11/19/2014,12,1,13:51,19.78,2.123,1.09,6.92,,,,,,,,,
11/19/2014,12,2,13:49,18.71,4.75,2.56,7.14,,,,,,,,,
11/19/2014,12,3,14:03,18.54,4.836,2.6,7.19,,,,,,,,,
11/19/2014,12,4,14:02,19,5.061,3.05,7.12,,,,,,,,,
11/19/2014,12,5,14:00,17.42,5.651,3.08,6.54,,,,,,,,,
11/19/2014,13,1,13:39,19.26,4.568,2.45,7.04,,,,,,,,,
11/19/2014,13,2,Not Pulling,,,,,,,,,,,,,
11/19/2014,13,3,13:40,18.1,3.662,1.94,7.16,,,,,,,,,
11/19/2014,13,4,13:41,18.23,4.936,2.66,6.85,,,,,,,,,
11/19/2014,13,5,13:43,18.45,3.587,1.9,6.8,,,,,,,,,
11/19/2014,14,1,14:24,19.7,4.682,2.52,7.11,,,,,,,,,
11/19/2014,14,2,Not Pulling,,,,,,,,,,,,,
11/19/2014,14,3,14:30,19.12,6.228,3.41,7.08,,,,,,,,,
11/19/2014,14,4,14:31,19.58,5.421,2.94,6.9,,,,,,,,,
11/19/2014,14,5,14:32,19.22,3.634,1.92,6.98,,,,,,,,,
11/19/2014,15,1,13:07,18.18,2.08,1.07,7.09,,,,,,,,,
11/19/2014,15,2,13:09,18.44,1.691,0.86,6.91,,,,,,,,,
11/19/2014,15,3,13:10,18.71,5.101,2.76,6.79,,,,,,,,,
11/19/2014,15,4,13:11,18.21,4.844,2.61,6.78,,,,,,,,,
11/19/2014,15,5,13:12,18.14,2.942,1.54,6.76,,,,,,,,,
11/19/2014,16,1,Not Pulling,,,,,,,,,,,,,
11/19/2014,16,2,13:15,19,4.468,2.39,6.8,,,,,,,,,
11/19/2014,16,3,13:19,17.59,5.369,2.91,6.97,,,,,,,,,
11/19/2014,16,4,13:20,18.97,4.462,2.39,6.95,,,,,,,,,
11/19/2014,16,5,13:18,18.38,4.362,2.31,7.08,,,,,,,,,
12/18/2014,2,1,10:22,27.6,0.814,0.39,6.64,,,,,,,,,
12/18/2014,2,2,10:24,24.49,0.528,0.26,6.88,,,,,,,,,
12/18/2014,2,3,10:26,23.58,0.5,0.24,6.36,,,,,,,,,
12/18/2014,2,4,10:29,24.93,0.483,0.23,6.65,,,,,,,,,
12/18/2014,2,5,10:32,24.12,0.522,0.25,6.4,,,,,,,,,
12/18/2014,3,1,10:37,28.3,0.51,0.25,6.55,,,,,,,,,
12/18/2014,3,2,10:39,26.35,0.487,0.23,6.89,,,,,,,,,
12/18/2014,3,3,10:42,24.97,0.52,0.25,6.74,,,,,,,,,
12/18/2014,3,4,10:46,24.61,0.519,0.25,6.65,,,,,,,,,
12/18/2014,3,5,10:48,26.06,0.55,0.26,6.53,,,,,,,,,
12/18/2014,6,1,10:54,26.96,0.507,0.24,6.48,,,,,,,,,
12/18/2014,6,2,10:52,28.06,0.529,0.25,6.55,,,,,,,,,
12/18/2014,6,3,10:57,23.9,0.515,0.25,6.51,,,,,,,,,
12/18/2014,6,4,10:59,22.94,0.511,0.25,6.44,,,,,,,,,
12/18/2014,6,5,11:02,25.96,0.577,0.28,7.38,,,,,,,,,
12/18/2014,8,1,11:05,26.58,0.52,0.25,6.57,,,,,,,,,
12/18/2014,8,2,11:07,25.8,0.49,0.24,6.38,,,,,,,,,
12/18/2014,8,3,11:09,24.5,0.573,0.28,6.66,,,,,,,,,
12/18/2014,8,4,11:11,24.28,0.54,0.26,6.57,,,,,,,,,
12/18/2014,8,5,11:15,24.31,0.525,0.25,6.5,,,,,,,,,
12/18/2014,10,1,11:20,26.68,0.604,0.29,6.58,,,,,,,,,
12/18/2014,10,2,11:22,27.94,0.513,0.25,7.07,,,,,,,,,
12/18/2014,10,3,11:24,24.83,0.523,0.25,6.62,,,,,,,,,
12/18/2014,10,4,11:28,24.46,0.525,0.25,6.72,,,,,,,,,
12/18/2014,10,5,11:31,23.67,0.492,0.24,6.52,,,,,,,,,
12/18/2014,9,1,11:35,25.97,0.528,0.25,6.42,,,,,,,,,
12/18/2014,9,2,11:38,30.1,0.553,0.26,6.51,,,,,,,,,
12/18/2014,9,3,11:40,24.31,0.514,0.26,6.57,,,,,,,,,
12/18/2014,9,4,11:42,26.03,0.557,0.27,6.53,,,,,,,,,
12/18/2014,9,5,11:44,25.94,0.532,0.26,6.55,,,,,,,,,
12/18/2014,12,1,11:48,25.79,2.196,1.12,6.5,,,,,,,,,
12/18/2014,12,2,11:52,26.45,2.714,1.4,6.64,,,,,,,,,
12/18/2014,12,3,11:54,23.98,5.626,3.04,6.69,,,,,,,,,
12/18/2014,12,4,11:57,23.74,4.065,2.15,6.75,,,,,,,,,
12/18/2014,12,5,12:00,25.4,3.86,2.04,6.63,,,,,,,,,
12/18/2014,11,1,12:11,31.36,2.358,1.2,6.64,,,,,,,,,
12/18/2014,11,2,12:15,27.67,2.495,1.28,6.69,,,,,,,,,
12/18/2014,11,3,12:17,27.73,4.398,2.33,6.63,,,,,,,,,
12/18/2014,11,4,12:20,27.73,4.539,2.41,6.52,,,,,,,,,
12/18/2014,11,5,12:24,28.01,3.562,1.96,6.58,,,,,,,,,
12/18/2014,14,1,12:28,32.05,3.261,1.68,6.72,,,,,,,,,
12/18/2014,14,2,12:31,30,3.377,1.75,6.71,,,,,,,,,
12/18/2014,14,3,12:34,27,6.279,3.41,6.62,,,,,,,,,
12/18/2014,14,4,12:36,27.55,7.526,4.14,6.61,,,,,,,,,
12/18/2014,14,5,12:39,26.8,4.158,2.2,6.67,,,,,,,,,
12/18/2014,15,1,12:56,28.29,1.482,0.74,6.53,,,,,,,,,
12/18/2014,15,2,12:59,31.75,2.222,1.12,6.53,,,,,,,,,
12/18/2014,15,3,13:02,25.56,3.867,2.04,6.62,,,,,,,,,
12/18/2014,15,4,13:04,26.44,4.132,2.19,6.53,,,,,,,,,
12/18/2014,15,5,13:07,26.36,2.272,1.16,6.66,,,,,,,,,
12/18/2014,16,1,Not Pulling,,,,,,,,,,,,,
12/18/2014,16,2,13:10,27.54,4.248,2.25,6.56,,,,,,,,,
12/18/2014,16,3,13:14,26.72,6.055,3.28,6.6,,,,,,,,,
12/18/2014,16,4,13:16,27.35,5.018,2.68,6.64,,,,,,,,,
12/18/2014,16,5,13:18,28.8,5.081,2.72,6.69,,,,,,,,,
12/18/2014,13,1,12:45,30.95,2.86,1.47,6.81,,,,,,,,,
12/18/2014,13,2,Not Pulling,,,,,,,,,,,,,
12/18/2014,13,3,12:48,25.29,2.72,1.16,6.76,,,,,,,,,
12/18/2014,13,4,12:50,24.34,3.623,1.9,6.5,,,,,,,,,
12/18/2014,13,5,12:53,25.55,2.838,1.47,6.58,,,,,,,,,
