"","CORE","TRT","STATION","CRYPT","SWPW","COLLECT_DATE","TEST_NAME","VALUE","UNITS"
"24",1,"elevinun","C1C1",1,"PW","10/27/2014 08:37","DOC",16.2,"mg/L"
"25",1,"elevinun","C1C1",1,"PW","11/ 3/2014 08:26","DOC",13.9,"mg/L"
"26",1,"elevinun","C1C1",1,"PW","11/10/2014 13:00","DOC",16.6,"mg/L"
"27",1,"elevinun","C1C1",1,"PW","11/17/2014 07:32","DOC",58.1,"mg/L"
"28",1,"elevinun","C1C1",1,"PW","11/23/2014 13:00","DOC",19.42,"mg/L"
"29",1,"elevinun","C1C1",1,"PW","12/ 1/2014 12:00","DOC",13.12,"mg/L"
"30",1,"elevinun","C1C1",1,"PW","10/27/2014 08:37","TDN",1.09,"mg/L"
"31",1,"elevinun","C1C1",1,"PW","11/ 3/2014 08:26","TDN",1,"mg/L"
"32",1,"elevinun","C1C1",1,"PW","09/ 7/2014 13:00","NH4",0.23,"mg/L"
"33",1,"elevinun","C1C1",1,"PW","09/15/2014 10:38","NH4",0.359,"mg/L"
"34",1,"elevinun","C1C1",1,"PW","09/21/2014 18:26","NH4",0.585,"mg/L"
"35",1,"elevinun","C1C1",1,"PW","09/29/2014 08:50","NH4",0.548,"mg/L"
"36",1,"elevinun","C1C1",1,"PW","10/ 5/2014 10:00","NH4",0.589,"mg/L"
"37",1,"elevinun","C1C1",1,"PW","10/13/2014 07:54","NH4",0.645,"mg/L"
"38",1,"elevinun","C1C1",1,"PW","10/20/2014 10:00","NH4",0.552,"mg/L"
"39",1,"elevinun","C1C1",1,"PW","10/27/2014 08:37","NH4",0.51,"mg/L"
"40",1,"elevinun","C1C1",1,"PW","11/ 3/2014 08:26","NH4",0.463,"mg/L"
"41",1,"elevinun","C1C1",1,"PW","11/10/2014 13:00","NH4",0.529,"mg/L"
"42",1,"elevinun","C1C1",1,"PW","11/17/2014 07:32","NH4",0.53,"mg/L"
"43",1,"elevinun","C1C1",1,"PW","11/ 3/2014 08:26","SO4",1585,"mg/L"
"44",1,"elevinun","C1C1",1,"PW","11/10/2014 13:00","SO4",1675,"mg/L"
"45",1,"elevinun","C1C1",1,"PW","11/17/2014 07:32","SO4",1563,"mg/L"
"46",1,"elevinun","C1C1",1,"PW","09/ 7/2014 13:00","LPH",7.44,"pH Units"
"47",1,"elevinun","C1C1",1,"PW","09/15/2014 10:38","LPH",7.27,"pH Units"
"48",1,"elevinun","C1C1",1,"PW","09/21/2014 18:26","LPH",7.19,"pH Units"
"49",1,"elevinun","C1C1",1,"PW","09/29/2014 08:50","LPH",7.16,"pH Units"
"50",1,"elevinun","C1C1",1,"PW","10/ 5/2014 10:00","LPH",7.48,"pH Units"
"51",1,"elevinun","C1C1",1,"PW","09/ 7/2014 13:00","Salinity",22,"ppt"
"52",1,"elevinun","C1C1",1,"PW","10/20/2014 10:00","LPH",7.29,"pH Units"
"53",1,"elevinun","C1C1",1,"PW","09/ 7/2014 13:00","NOX",0.01,"mg/L"
"54",1,"elevinun","C1C1",1,"PW","11/ 3/2014 08:26","LPH",7.62,"pH Units"
"55",1,"elevinun","C1C1",1,"PW","11/10/2014 13:00","LPH",6.07,"pH Units"
"56",1,"elevinun","C1C1",1,"PW","11/17/2014 07:32","LPH",7.34,"pH Units"
"57",1,"elevinun","C1C1",1,"PW","10/ 5/2014 10:00","NOX",0.005,"mg/L"
"58",1,"elevinun","C1C1",1,"PW","10/13/2014 07:54","NOX",0.021,"mg/L"
"59",1,"elevinun","C1C1",1,"PW","10/20/2014 10:00","NOX",0.006,"mg/L"
"60",1,"elevinun","C1C1",1,"PW","10/27/2014 08:37","NOX",0.005,"mg/L"
"61",1,"elevinun","C1C1",1,"PW","11/ 3/2014 08:26","NOX",0.005,"mg/L"
"62",1,"elevinun","C1C1",1,"PW","11/10/2014 13:00","NOX",0.005,"mg/L"
"63",1,"elevinun","C1C1",1,"PW","10/27/2014 08:37","CL",12317,"mg/L"
"64",1,"elevinun","C1C1",1,"PW","11/ 3/2014 08:26","CL",11402,"mg/L"
"65",1,"elevinun","C1C1",1,"PW","09/ 7/2014 13:00","TDN",0.773,"mg/L"
"66",1,"elevinun","C1C1",1,"PW","09/15/2014 10:38","TDN",0.994,"mg/L"
"67",1,"elevinun","C1C1",1,"PW","09/21/2014 18:26","TDN",1.3,"mg/L"
"68",1,"elevinun","C1C1",1,"PW","09/29/2014 08:50","TDN",1.31,"mg/L"
"69",1,"elevinun","C1C1",1,"PW","09/ 7/2014 13:00","CL",12014,"mg/L"
"70",1,"elevinun","C1C1",1,"PW","09/15/2014 10:38","CL",12479,"mg/L"
"71",1,"elevinun","C1C1",1,"PW","09/21/2014 18:26","CL",11737,"mg/L"
"72",1,"elevinun","C1C1",1,"PW","09/29/2014 08:50","CL",11436,"mg/L"
"73",1,"elevinun","C1C1",1,"PW","10/ 5/2014 10:00","CL",12202,"mg/L"
"74",1,"elevinun","C1C1",1,"PW","10/13/2014 07:54","CL",11832,"mg/L"
"75",1,"elevinun","C1C1",1,"PW","10/20/2014 10:00","CL",13008,"mg/L"
"76",1,"elevinun","C1C1",1,"PW","11/23/2014 13:00","TDN",1.148,"mg/L"
"77",1,"elevinun","C1C1",1,"PW","12/ 1/2014 12:00","TDN",1.1,"mg/L"
"78",1,"elevinun","C1C1",1,"PW","11/10/2014 13:00","CL",11877,"mg/L"
"79",1,"elevinun","C1C1",1,"PW","11/17/2014 07:32","CL",11449,"mg/L"
"80",1,"elevinun","C1C1",1,"PW","11/23/2014 13:00","CL",11528.296,"mg/L"
"81",1,"elevinun","C1C1",1,"PW","12/ 1/2014 12:00","CL",10779.517,"mg/L"
"82",1,"elevinun","C1C1",1,"PW","10/27/2014 08:37","SO4",1673,"mg/L"
"83",1,"elevinun","C1C1",1,"PW","10/20/2014 10:00","SO4",1790,"mg/L"
"84",1,"elevinun","C1C1",1,"PW","11/23/2014 13:00","LPH",7.33,"pH Units"
"85",1,"elevinun","C1C1",1,"PW","12/ 1/2014 12:00","LPH",7.03,"pH Units"
"86",1,"elevinun","C1C1",1,"PW","09/29/2014 08:50","SO4",1516,"mg/L"
"87",1,"elevinun","C1C1",1,"PW","11/23/2014 13:00","SO4",1502.349,"mg/L"
"88",1,"elevinun","C1C1",1,"PW","12/ 1/2014 12:00","SO4",1553.37,"mg/L"
"89",1,"elevinun","C1C1",1,"PW","10/27/2014 08:37","LPH",7.51,"pH Units"
"90",1,"elevinun","C1C1",1,"PW","10/20/2014 10:00","TDN",1.16,"mg/L"
"91",1,"elevinun","C1C1",1,"PW","10/13/2014 07:54","LPH",7.6,"pH Units"
"92",1,"elevinun","C1C1",1,"PW","09/15/2014 10:38","SO4",1697,"mg/L"
"93",1,"elevinun","C1C1",1,"PW","10/13/2014 07:54","TDN",1.35,"mg/L"
"94",1,"elevinun","C1C1",1,"PW","09/21/2014 18:26","SO4",1610,"mg/L"
"95",1,"elevinun","C1C1",1,"PW","10/ 5/2014 10:00","SO4",1507,"mg/L"
"96",1,"elevinun","C1C1",1,"PW","10/ 5/2014 10:00","TDN",1.26,"mg/L"
"97",1,"elevinun","C1C1",1,"PW","11/17/2014 07:32","TDN",1.21,"mg/L"
"98",1,"elevinun","C1C1",1,"PW","11/10/2014 13:00","TDN",0.9,"mg/L"
"99",1,"elevinun","C1C1",1,"PW","10/13/2014 07:54","SO4",1963,"mg/L"
"100",1,"elevinun","C1C1",1,"PW","09/ 7/2014 13:00","SO4",1644,"mg/L"
"101",2,"elevcont","C1C2",1,"PW","11/17/2014 07:34","TDN",1.66,"mg/L"
"102",2,"elevcont","C1C2",1,"PW","10/ 5/2014 10:00","NH4",0.99,"mg/L"
"103",2,"elevcont","C1C2",1,"PW","09/29/2014 08:35","NH4",0.726,"mg/L"
"104",2,"elevcont","C1C2",1,"PW","11/23/2014 13:00","TDN",1.258,"mg/L"
"105",2,"elevcont","C1C2",1,"PW","11/10/2014 13:00","TDN",1.07,"mg/L"
"106",2,"elevcont","C1C2",1,"PW","10/ 5/2014 10:00","NOX",0.005,"mg/L"
"107",2,"elevcont","C1C2",1,"PW","12/ 1/2014 12:00","ALKA",123.59,"mg/L"
"108",2,"elevcont","C1C2",1,"PW","09/21/2014 18:27","NH4",0.649,"mg/L"
"109",2,"elevcont","C1C2",1,"PW","10/13/2014 07:56","NH4",0.908,"mg/L"
"110",2,"elevcont","C1C2",1,"PW","11/17/2014 07:34","LPH",7.29,"pH Units"
"111",2,"elevcont","C1C2",1,"PW","09/ 7/2014 13:09","NH4",0.353,"mg/L"
"112",2,"elevcont","C1C2",1,"PW","09/15/2014 10:43","NH4",0.434,"mg/L"
"113",2,"elevcont","C1C2",1,"PW","10/27/2014 08:41","NOX",0.005,"mg/L"
"114",2,"elevcont","C1C2",1,"PW","12/ 1/2014 12:00","TDN",1.287,"mg/L"
"115",2,"elevcont","C1C2",1,"PW","09/21/2014 18:27","LPH",7.2,"pH Units"
"116",2,"elevcont","C1C2",1,"PW","10/20/2014 10:00","NH4",0.924,"mg/L"
"117",2,"elevcont","C1C2",1,"PW","11/10/2014 13:00","NOX",0.005,"mg/L"
"118",2,"elevcont","C1C2",1,"PW","10/13/2014 07:56","NOX",0.014,"mg/L"
"119",2,"elevcont","C1C2",1,"PW","11/10/2014 13:00","CL",12167,"mg/L"
"120",2,"elevcont","C1C2",1,"PW","11/17/2014 07:34","CL",11872,"mg/L"
"121",2,"elevcont","C1C2",1,"PW","09/21/2014 18:27","CL",11618,"mg/L"
"122",2,"elevcont","C1C2",1,"PW","10/27/2014 08:41","TDN",1.52,"mg/L"
"123",2,"elevcont","C1C2",1,"PW","12/ 1/2014 12:00","DOC",19.19,"mg/L"
"124",2,"elevcont","C1C2",1,"PW","11/23/2014 13:00","LPH",7.24,"pH Units"
"125",2,"elevcont","C1C2",1,"PW","10/ 5/2014 10:00","CL",11668,"mg/L"
"126",2,"elevcont","C1C2",1,"PW","10/20/2014 10:00","ALKA",86,"mg/L"
"127",2,"elevcont","C1C2",1,"PW","09/29/2014 08:35","CL",11331,"mg/L"
"128",2,"elevcont","C1C2",1,"PW","09/29/2014 08:35","LPH",7.28,"pH Units"
"129",2,"elevcont","C1C2",1,"PW","09/15/2014 10:43","NOX",0.005,"mg/L"
"130",2,"elevcont","C1C2",1,"PW","09/29/2014 08:35","NOX",0.005,"mg/L"
"131",2,"elevcont","C1C2",1,"PW","09/ 7/2014 13:09","ALKA",131,"mg/L"
"132",2,"elevcont","C1C2",1,"PW","09/ 7/2014 13:09","NOX",0.01,"mg/L"
"133",2,"elevcont","C1C2",1,"PW","09/15/2014 10:43","ALKA",109,"mg/L"
"134",2,"elevcont","C1C2",1,"PW","11/ 3/2014 08:28","TDN",1.28,"mg/L"
"135",2,"elevcont","C1C2",1,"PW","10/20/2014 10:00","NOX",0.005,"mg/L"
"136",2,"elevcont","C1C2",1,"PW","09/ 7/2014 13:09","Salinity",22,"ppt"
"137",2,"elevcont","C1C2",1,"PW","10/ 5/2014 10:00","ALKA",140,"mg/L"
"138",2,"elevcont","C1C2",1,"PW","09/ 7/2014 13:09","LPH",7.35,"pH Units"
"139",2,"elevcont","C1C2",1,"PW","09/29/2014 08:35","ALKA",141,"mg/L"
"140",2,"elevcont","C1C2",1,"PW","11/ 3/2014 08:28","NOX",0.005,"mg/L"
"141",2,"elevcont","C1C2",1,"PW","10/27/2014 08:41","NH4",0.848,"mg/L"
"142",2,"elevcont","C1C2",1,"PW","11/ 3/2014 08:28","CL",12037,"mg/L"
"143",2,"elevcont","C1C2",1,"PW","11/ 3/2014 08:28","NH4",0.679,"mg/L"
"144",2,"elevcont","C1C2",1,"PW","11/ 3/2014 08:28","LPH",7.51,"pH Units"
"145",2,"elevcont","C1C2",1,"PW","11/23/2014 13:00","DOC",22.65,"mg/L"
"146",2,"elevcont","C1C2",1,"PW","11/10/2014 13:00","LPH",4.25,"pH Units"
"147",2,"elevcont","C1C2",1,"PW","12/ 1/2014 12:00","CL",11176.259,"mg/L"
"148",2,"elevcont","C1C2",1,"PW","09/15/2014 10:43","CL",11762,"mg/L"
"149",2,"elevcont","C1C2",1,"PW","10/20/2014 10:00","TDN",1.68,"mg/L"
"150",2,"elevcont","C1C2",1,"PW","12/ 1/2014 12:00","LPH",7.15,"pH Units"
"151",2,"elevcont","C1C2",1,"PW","10/13/2014 07:56","ALKA",140,"mg/L"
"152",2,"elevcont","C1C2",1,"PW","10/27/2014 08:41","CL",11572,"mg/L"
"153",2,"elevcont","C1C2",1,"PW","09/15/2014 10:43","LPH",7.33,"pH Units"
"154",2,"elevcont","C1C2",1,"PW","09/21/2014 18:27","NOX",0.035,"mg/L"
"155",2,"elevcont","C1C2",1,"PW","10/20/2014 10:00","LPH",7.24,"pH Units"
"156",2,"elevcont","C1C2",1,"PW","09/29/2014 08:35","TDN",1.63,"mg/L"
"157",2,"elevcont","C1C2",1,"PW","11/17/2014 07:34","NH4",0.917,"mg/L"
"158",2,"elevcont","C1C2",1,"PW","09/29/2014 08:35","SO4",1481,"mg/L"
"159",2,"elevcont","C1C2",1,"PW","10/ 5/2014 10:00","TDN",1.83,"mg/L"
"160",2,"elevcont","C1C2",1,"PW","09/ 7/2014 13:09","DOC",20,"mg/L"
"161",2,"elevcont","C1C2",1,"PW","10/13/2014 07:56","TDN",1.66,"mg/L"
"162",2,"elevcont","C1C2",1,"PW","09/ 7/2014 13:09","CL",11764,"mg/L"
"163",2,"elevcont","C1C2",1,"PW","10/13/2014 07:56","SO4",2022,"mg/L"
"164",2,"elevcont","C1C2",1,"PW","10/20/2014 10:00","CL",12207,"mg/L"
"165",2,"elevcont","C1C2",1,"PW","11/10/2014 13:00","ALKA",2,"mg/L"
"166",2,"elevcont","C1C2",1,"PW","11/17/2014 07:34","SO4",1615,"mg/L"
"167",2,"elevcont","C1C2",1,"PW","11/17/2014 07:34","ALKA",139,"mg/L"
"168",2,"elevcont","C1C2",1,"PW","11/23/2014 13:00","CL",11297.012,"mg/L"
"169",2,"elevcont","C1C2",1,"PW","11/10/2014 13:00","NH4",0.633,"mg/L"
"170",2,"elevcont","C1C2",1,"PW","11/23/2014 13:00","ALKA",134.11,"mg/L"
"171",2,"elevcont","C1C2",1,"PW","10/27/2014 08:41","LPH",7.69,"pH Units"
"172",2,"elevcont","C1C2",1,"PW","10/27/2014 08:41","ALKA",149,"mg/L"
"173",2,"elevcont","C1C2",1,"PW","09/21/2014 18:27","ALKA",125,"mg/L"
"174",2,"elevcont","C1C2",1,"PW","10/ 5/2014 10:00","SO4",1912,"mg/L"
"175",2,"elevcont","C1C2",1,"PW","10/20/2014 10:00","SO4",1640,"mg/L"
"176",2,"elevcont","C1C2",1,"PW","11/ 3/2014 08:28","DOC",20.1,"mg/L"
"177",2,"elevcont","C1C2",1,"PW","10/13/2014 07:56","LPH",7.25,"pH Units"
"178",2,"elevcont","C1C2",1,"PW","11/ 3/2014 08:28","ALKA",131,"mg/L"
"179",2,"elevcont","C1C2",1,"PW","10/27/2014 08:41","SO4",1556,"mg/L"
"180",2,"elevcont","C1C2",1,"PW","10/13/2014 07:56","CL",12369,"mg/L"
"181",2,"elevcont","C1C2",1,"PW","11/17/2014 07:34","DOC",26.9,"mg/L"
"182",2,"elevcont","C1C2",1,"PW","11/10/2014 13:00","DOC",20.3,"mg/L"
"183",2,"elevcont","C1C2",1,"PW","09/21/2014 18:27","SO4",1771,"mg/L"
"184",2,"elevcont","C1C2",1,"PW","09/15/2014 10:43","TDN",1.18,"mg/L"
"185",2,"elevcont","C1C2",1,"PW","09/21/2014 18:27","DOC",25.8,"mg/L"
"186",2,"elevcont","C1C2",1,"PW","10/ 5/2014 10:00","LPH",7.69,"pH Units"
"187",2,"elevcont","C1C2",1,"PW","09/21/2014 18:27","TDN",1.54,"mg/L"
"188",2,"elevcont","C1C2",1,"PW","12/ 1/2014 12:00","SO4",1607.993,"mg/L"
"189",2,"elevcont","C1C2",1,"PW","09/15/2014 10:43","SO4",1544,"mg/L"
"190",2,"elevcont","C1C2",1,"PW","09/ 7/2014 13:09","TDN",0.935,"mg/L"
"191",2,"elevcont","C1C2",1,"PW","10/ 5/2014 10:00","DOC",27,"mg/L"
"192",2,"elevcont","C1C2",1,"PW","11/23/2014 13:00","SO4",1465.177,"mg/L"
"193",2,"elevcont","C1C2",1,"PW","10/13/2014 07:56","DOC",23.5,"mg/L"
"194",2,"elevcont","C1C2",1,"PW","11/ 3/2014 08:28","SO4",1673,"mg/L"
"195",2,"elevcont","C1C2",1,"PW","10/27/2014 08:41","DOC",21.1,"mg/L"
"196",2,"elevcont","C1C2",1,"PW","09/15/2014 10:43","DOC",21.7,"mg/L"
"197",2,"elevcont","C1C2",1,"PW","10/20/2014 10:00","DOC",22.8,"mg/L"
"198",2,"elevcont","C1C2",1,"PW","09/29/2014 08:35","DOC",23.8,"mg/L"
"199",2,"elevcont","C1C2",1,"PW","11/10/2014 13:00","SO4",1723,"mg/L"
"200",2,"elevcont","C1C2",1,"PW","09/ 7/2014 13:09","SO4",1572,"mg/L"
"201",3,"elevinun","C1C3",1,"PW","09/29/2014 08:37","DOC",19.5,"mg/L"
"202",3,"elevinun","C1C3",1,"PW","10/ 5/2014 10:00","CL",11848,"mg/L"
"203",3,"elevinun","C1C3",1,"PW","11/17/2014 07:36","NH4",0.697,"mg/L"
"204",3,"elevinun","C1C3",1,"PW","10/27/2014 08:42","DOC",18.2,"mg/L"
"205",3,"elevinun","C1C3",1,"PW","11/10/2014 13:00","NH4",0.636,"mg/L"
"206",3,"elevinun","C1C3",1,"PW","10/20/2014 10:00","DOC",22.3,"mg/L"
"207",3,"elevinun","C1C3",1,"PW","11/17/2014 07:36","DOC",18.8,"mg/L"
"208",3,"elevinun","C1C3",1,"PW","09/ 7/2014 13:20","NH4",0.237,"mg/L"
"209",3,"elevinun","C1C3",1,"PW","11/10/2014 13:00","DOC",17,"mg/L"
"210",3,"elevinun","C1C3",1,"PW","09/15/2014 10:48","DOC",17.9,"mg/L"
"211",3,"elevinun","C1C3",1,"PW","09/21/2014 18:47","DOC",22.3,"mg/L"
"212",3,"elevinun","C1C3",1,"PW","09/ 7/2014 13:20","LPH",7.41,"pH Units"
"213",3,"elevinun","C1C3",1,"PW","10/13/2014 07:57","CL",11902,"mg/L"
"214",3,"elevinun","C1C3",1,"PW","10/20/2014 10:00","CL",12052,"mg/L"
"215",3,"elevinun","C1C3",1,"PW","10/27/2014 08:42","CL",12392,"mg/L"
"216",3,"elevinun","C1C3",1,"PW","11/ 3/2014 08:30","CL",12954,"mg/L"
"217",3,"elevinun","C1C3",1,"PW","11/10/2014 13:00","CL",11942,"mg/L"
"218",3,"elevinun","C1C3",1,"PW","11/17/2014 07:36","CL",11541,"mg/L"
"219",3,"elevinun","C1C3",1,"PW","11/23/2014 13:00","CL",11617.817,"mg/L"
"220",3,"elevinun","C1C3",1,"PW","12/ 1/2014 12:00","CL",11801.458,"mg/L"
"221",3,"elevinun","C1C3",1,"PW","10/27/2014 08:42","SO4",1671,"mg/L"
"222",3,"elevinun","C1C3",1,"PW","09/15/2014 10:48","NH4",0.368,"mg/L"
"223",3,"elevinun","C1C3",1,"PW","09/ 7/2014 13:20","DOC",14.2,"mg/L"
"224",3,"elevinun","C1C3",1,"PW","12/ 1/2014 12:00","LPH",7.02,"pH Units"
"225",3,"elevinun","C1C3",1,"PW","09/29/2014 08:37","NH4",0.975,"mg/L"
"226",3,"elevinun","C1C3",1,"PW","10/ 5/2014 10:00","NH4",0.639,"mg/L"
"227",3,"elevinun","C1C3",1,"PW","10/ 5/2014 10:00","DOC",20.6,"mg/L"
"228",3,"elevinun","C1C3",1,"PW","10/13/2014 07:57","DOC",17.3,"mg/L"
"229",3,"elevinun","C1C3",1,"PW","10/27/2014 08:42","NH4",0.713,"mg/L"
"230",3,"elevinun","C1C3",1,"PW","11/ 3/2014 08:30","NH4",0.632,"mg/L"
"231",3,"elevinun","C1C3",1,"PW","09/ 7/2014 13:20","TDN",0.961,"mg/L"
"232",3,"elevinun","C1C3",1,"PW","09/15/2014 10:48","TDN",1.02,"mg/L"
"233",3,"elevinun","C1C3",1,"PW","11/ 3/2014 08:30","DOC",14.6,"mg/L"
"234",3,"elevinun","C1C3",1,"PW","10/ 5/2014 10:00","SO4",1673,"mg/L"
"235",3,"elevinun","C1C3",1,"PW","09/29/2014 08:37","TDN",1.73,"mg/L"
"236",3,"elevinun","C1C3",1,"PW","09/ 7/2014 13:20","CL",11584,"mg/L"
"237",3,"elevinun","C1C3",1,"PW","09/21/2014 18:47","NH4",0.78,"mg/L"
"238",3,"elevinun","C1C3",1,"PW","11/17/2014 07:36","SO4",1573,"mg/L"
"239",3,"elevinun","C1C3",1,"PW","10/ 5/2014 10:00","ALKA",138,"mg/L"
"240",3,"elevinun","C1C3",1,"PW","10/13/2014 07:57","NH4",0.609,"mg/L"
"241",3,"elevinun","C1C3",1,"PW","10/20/2014 10:00","NH4",0.767,"mg/L"
"242",3,"elevinun","C1C3",1,"PW","09/29/2014 08:37","LPH",7.32,"pH Units"
"243",3,"elevinun","C1C3",1,"PW","10/ 5/2014 10:00","LPH",7.55,"pH Units"
"244",3,"elevinun","C1C3",1,"PW","09/15/2014 10:48","SO4",1824,"mg/L"
"245",3,"elevinun","C1C3",1,"PW","09/21/2014 18:47","SO4",1580,"mg/L"
"246",3,"elevinun","C1C3",1,"PW","09/29/2014 08:37","SO4",1593,"mg/L"
"247",3,"elevinun","C1C3",1,"PW","11/ 3/2014 08:30","LPH",7.62,"pH Units"
"248",3,"elevinun","C1C3",1,"PW","10/13/2014 07:57","SO4",1975,"mg/L"
"249",3,"elevinun","C1C3",1,"PW","11/ 3/2014 08:30","SO4",1799,"mg/L"
"250",3,"elevinun","C1C3",1,"PW","11/10/2014 13:00","SO4",1702,"mg/L"
"251",3,"elevinun","C1C3",1,"PW","11/10/2014 13:00","NOX",0.005,"mg/L"
"252",3,"elevinun","C1C3",1,"PW","09/21/2014 18:47","CL",11807,"mg/L"
"253",3,"elevinun","C1C3",1,"PW","09/15/2014 10:48","LPH",7.09,"pH Units"
"254",3,"elevinun","C1C3",1,"PW","09/21/2014 18:47","LPH",7.43,"pH Units"
"255",3,"elevinun","C1C3",1,"PW","11/17/2014 07:36","TDN",1.32,"mg/L"
"256",3,"elevinun","C1C3",1,"PW","11/23/2014 13:00","TDN",1.294,"mg/L"
"257",3,"elevinun","C1C3",1,"PW","10/13/2014 07:57","LPH",7.46,"pH Units"
"258",3,"elevinun","C1C3",1,"PW","10/20/2014 10:00","LPH",7.18,"pH Units"
"259",3,"elevinun","C1C3",1,"PW","10/27/2014 08:42","LPH",7.46,"pH Units"
"260",3,"elevinun","C1C3",1,"PW","11/23/2014 13:00","ALKA",134.36,"mg/L"
"261",3,"elevinun","C1C3",1,"PW","11/10/2014 13:00","LPH",7.54,"pH Units"
"262",3,"elevinun","C1C3",1,"PW","11/17/2014 07:36","LPH",7.49,"pH Units"
"263",3,"elevinun","C1C3",1,"PW","11/23/2014 13:00","LPH",7.3,"pH Units"
"264",3,"elevinun","C1C3",1,"PW","09/15/2014 10:48","CL",12880,"mg/L"
"265",3,"elevinun","C1C3",1,"PW","09/21/2014 18:47","ALKA",135,"mg/L"
"266",3,"elevinun","C1C3",1,"PW","09/29/2014 08:37","CL",11908,"mg/L"
"267",3,"elevinun","C1C3",1,"PW","11/10/2014 13:00","TDN",1.06,"mg/L"
"268",3,"elevinun","C1C3",1,"PW","09/ 7/2014 13:20","NOX",0.005,"mg/L"
"269",3,"elevinun","C1C3",1,"PW","09/15/2014 10:48","NOX",0.005,"mg/L"
"270",3,"elevinun","C1C3",1,"PW","09/ 7/2014 13:20","SO4",1583,"mg/L"
"271",3,"elevinun","C1C3",1,"PW","11/10/2014 13:00","ALKA",128,"mg/L"
"272",3,"elevinun","C1C3",1,"PW","11/17/2014 07:36","ALKA",141,"mg/L"
"273",3,"elevinun","C1C3",1,"PW","09/29/2014 08:37","NOX",0.005,"mg/L"
"274",3,"elevinun","C1C3",1,"PW","12/ 1/2014 12:00","ALKA",102.33,"mg/L"
"275",3,"elevinun","C1C3",1,"PW","10/20/2014 10:00","NOX",0.005,"mg/L"
"276",3,"elevinun","C1C3",1,"PW","11/23/2014 13:00","DOC",22.2,"mg/L"
"277",3,"elevinun","C1C3",1,"PW","09/15/2014 10:48","ALKA",114,"mg/L"
"278",3,"elevinun","C1C3",1,"PW","12/ 1/2014 12:00","DOC",21.31,"mg/L"
"279",3,"elevinun","C1C3",1,"PW","09/29/2014 08:37","ALKA",146,"mg/L"
"280",3,"elevinun","C1C3",1,"PW","11/23/2014 13:00","SO4",1643.482,"mg/L"
"281",3,"elevinun","C1C3",1,"PW","10/20/2014 10:00","TDN",1.37,"mg/L"
"282",3,"elevinun","C1C3",1,"PW","12/ 1/2014 12:00","SO4",1696.189,"mg/L"
"283",3,"elevinun","C1C3",1,"PW","09/21/2014 18:47","NOX",0.007,"mg/L"
"284",3,"elevinun","C1C3",1,"PW","12/ 1/2014 12:00","TDN",1.277,"mg/L"
"285",3,"elevinun","C1C3",1,"PW","11/ 3/2014 08:30","ALKA",145,"mg/L"
"286",3,"elevinun","C1C3",1,"PW","11/ 3/2014 08:30","NOX",0.005,"mg/L"
"287",3,"elevinun","C1C3",1,"PW","10/ 5/2014 10:00","NOX",0.011,"mg/L"
"288",3,"elevinun","C1C3",1,"PW","10/13/2014 07:57","NOX",0.01,"mg/L"
