,,,,,,,,,,degrees C,mS/cm,ppt,,
3/3/15,2015,3,SW,Source,P76874,2,H1,N/A,16:28,25.62,54.69,36.2,7.95,
3/3/15,2015,3,SW,Source,P76874,3,H2,N/A,16:13,26.04,0.82,0.4,8.31,
3/3/15,2015,3,SW,Source,P76874,4,M1,N/A,16:26,26.48,10.56,5.95,8.1,
3/3/15,2015,3,SW,Source,P76874,5,M2,N/A,16:09,26.79,26.08,15.9,7.99,
3/3/15,2015,3,SW,Treatment,P76874,6,1,N/A,16:43,28.86,27.45,16.78,7.92,
3/3/15,2015,3,SW,Treatment,P76874,7,1,N/A,16:43,28.86,27.45,16.78,7.92,FD
3/3/15,2015,3,SW,Control,P76874,8,2,N/A,16:47,29.31,13.3,7.61,8.05,
3/3/15,2015,3,SW,Treatment,P76874,9,3,N/A,16:52,29.5,26.98,16.45,7.92,
3/3/15,2015,3,SW,Control,P76874,10,4,N/A,16:56,29.6,13.4,7.67,7.99,
3/3/15,2015,3,SW,Treatment,P76874,11,5,N/A,17:00,29.48,27.24,16.63,7.94,
3/3/15,2015,3,SW,Control,P76874,12,6,N/A,17:02,30.04,13.72,7.86,8.06,
3/3/15,2015,3,SW,Control,P76874,13,6,N/A,17:02,30.04,13.72,7.86,8.06,FD
3/3/15,2015,3,PW,Treatment,P76876,1,1,1,11:48,27.53,27,16.5,6.67,
3/3/15,2015,3,PW,Treatment,P76876,2,1,2,11:54,25.63,26.99,16.53,7.2,
3/3/15,2015,3,PW,Treatment,P76876,3,1,3,11:59,25.21,26.39,16.13,6.87,
3/3/15,2015,3,PW,Treatment,P76876,4,1,4,12:05,24.91,26.14,15.97,6.85,
3/3/15,2015,3,PW,Control,P76876,5,2,5,12:34,25.92,13.8,7.96,6.98,
3/3/15,2015,3,PW,Control,P76876,6,2,6,12:27,26.25,13.75,7.92,7.22,
3/3/15,2015,3,PW,Control,P76876,7,2,7,12:21,26.04,13.8,7.96,6.95,
3/3/15,2015,3,PW,Control,P76876,8,2,8,12:15,26.19,14.64,8.48,6.96,
3/3/15,2015,3,PW,Treatment,P76876,9,3,9,15:36,29.64,26.71,16.27,7.34,
3/4/15,2015,3,PW,Treatment,P76876,10,3,10,11:59,27.51,26.56,16.21,7.1,
3/3/15,2015,3,PW,Treatment,P76876,11,3,11,15:45,28.36,26.72,16.3,7.02,
3/3/15,2015,3,PW,Treatment,P76876,12,3,12,15:52,29.01,26.53,16.16,7.27,
3/3/15,2015,3,PW,Control,P76876,13,4,13,16:19,26.7,13.55,7.79,6.99,
3/3/15,2015,3,PW,Control,P76876,14,4,14,16:12,26.75,13.75,7.92,6.85,
3/3/15,2015,3,PW,Control,P76876,15,4,15,16:07,27.53,13.23,7.59,7.08,
3/3/15,2015,3,PW,Control,P76876,16,4,16,16:00,26.95,14.05,8.1,7.02,
3/3/15,2015,3,PW,Treatment,P76876,17,5,17,16:58,28.25,25.36,15.4,7.1,
3/3/15,2015,3,PW,Treatment,P76876,18,5,18,17:04,26.87,26.56,16.21,7.09,
3/4/15,2015,3,PW,Treatment,P76876,19,5,19,11:22,31.58,24.22,14.59,6.9,
3/3/15,2015,3,PW,Treatment,P76876,20,5,20,17:10,27.4,25.98,15.83,6.96,
3/4/15,2015,3,PW,Control,P76876,21,6,21,11:28,26.64,14.12,8.15,7.13,
3/4/15,2015,3,PW,Control,P76876,22,6,22,11:31,26.01,14.16,8.18,6.66,
3/4/15,2015,3,PW,Control,P76876,23,6,23,11:42,26.2,15.2,8.83,6.91,
3/4/15,2015,3,PW,Control,P76876,24,6,24,11:46,26.51,13.93,8.04,6.94,
4/2/15,2015,4,SW,Source,P77655,2,H1,N/A,16:41,26.13,50.08,32.78,8.23,
4/2/15,2015,4,SW,Source,P77655,3,H2,N/A,16:54,26.88,0.489,0.23,8.37,
4/2/15,2015,4,SW,Source,P77655,4,M1,N/A,17:02,27.37,7.982,4.4,8.18,
4/2/15,2015,4,SW,Source,P77655,5,M2,N/A,16:48,26.92,14.48,8.37,8.17,
4/3/15,2015,4,SW,Treatment,P77655,6,1,N/A,11:49,24.68,25.6,15.61,7.85,
4/3/15,2015,4,SW,Treatment,P77655,7,1,N/A,11:50,24.68,25.6,15.61,7.85,FD
4/3/15,2015,4,SW,Control,P77655,8,2,N/A,11:51,25.04,12.74,7.31,8.05,
4/3/15,2015,4,SW,Treatment,P77655,9,3,N/A,12:01,25.37,25.95,15.83,7.84,
4/3/15,2015,4,SW,Control,P77655,10,4,N/A,12:03,25.28,12.75,7.31,8.1,
4/3/15,2015,4,SW,Treatment,P77655,11,5,N/A,12:09,25.6,24.89,15.13,7.92,
4/3/15,2015,4,SW,Control,P77655,12,6,N/A,12:10,25.84,14.07,8.13,8.05,
4/3/15,2015,4,SW,Control,P77655,13,6,N/A,12:11,25.84,14.07,8.13,8.05,FD
4/6/15,2015,4,PW,Treatment,P77656,1,1,1,16:51,29.84,28.18,17.25,6.67,
4/6/15,2015,4,PW,Treatment,P77656,2,1,2,16:57,29.08,26.07,15.87,7.07,
4/6/15,2015,4,PW,Treatment,P77656,3,1,3,17:04,29.05,26.19,15.94,6.75,
4/6/15,2015,4,PW,Treatment,P77656,4,1,4,17:10,28.59,27.52,16.85,6.73,
4/6/15,2015,4,PW,Control,P77656,5,2,5,12:04,27.76,13.86,7.98,6.76,
4/6/15,2015,4,PW,Control,P77656,6,2,6,12:09,27.67,13.5,7.76,7.2,
4/6/15,2015,4,PW,Control,P77656,7,2,7,12:16,27.93,13.77,7.92,6.91,
4/6/15,2015,4,PW,Control,P77656,8,2,8,12:23,27.22,15.42,8.96,6.78,
4/6/15,2015,4,PW,Treatment,P77656,9,3,9,12:48,28.41,25.81,15.71,7.15,
4/6/15,2015,4,PW,Treatment,P77656,10,3,10,12:53,27.92,26.78,16.34,6.98,
4/6/15,2015,4,PW,Treatment,P77656,11,3,11,12:59,28.75,26.63,16.23,6.9,
4/6/15,2015,4,PW,Treatment,P77656,12,3,12,13:05,29.36,27.04,16.5,7.02,
4/6/15,2015,4,PW,Control,P77656,13,4,13,12:42,27.5,13.37,7.67,7.13,
4/6/15,2015,4,PW,Control,P77656,14,4,14,13:40,29.9,14.74,8.5,6.87,
4/6/15,2015,4,PW,Control,P77656,15,4,15,13:46,28.64,13.76,7.91,7.13,
4/6/15,2015,4,PW,Control,P77656,16,4,16,13:54,28.89,13.93,8.01,7.02,
4/6/15,2015,4,PW,Treatment,P77656,17,5,17,14:54,30.47,27.4,16.71,7.05,
4/6/15,2015,4,PW,Treatment,P77656,18,5,18,14:57,28.44,26.4,16.08,6.63,
4/6/15,2015,4,PW,Treatment,P77656,19,5,19,15:03,27.55,27.57,16.89,6.9,
4/6/15,2015,4,PW,Treatment,P77656,20,5,20,15:10,27.82,26.2,15.96,6.9,
4/6/15,2015,4,PW,Control,P77656,21,6,21,15:17,28.32,15,8.68,6.89,
4/6/15,2015,4,PW,Control,P77656,22,6,22,15:22,28.4,15.29,8.87,6.79,
4/6/15,2015,4,PW,Control,P77656,23,6,23,15:25,27.5,15.42,8.96,6.75,
4/6/15,2015,4,PW,Control,P77656,24,6,24,15:32,28.11,15.36,8.91,6.77,
4/30/15,2015,4,SW,Source,P77870,2,H1,N/A,11:14,27.72,41.98,26.87,8.23,
4/30/15,2015,4,SW,Source,P77870,3,H2,N/A,11:02,27.23,0.475,0.23,8.3,
4/30/15,2015,4,SW,Source,P77870,4,M1,N/A,11:17,26.91,9.084,5.06,8.37,
4/30/15,2015,4,SW,Source,P77870,5,M2,N/A,11:20,27.26,13.29,7.63,8.19,
4/30/15,2015,4,SW,Treatment,P77870,6,1,N/A,11:40,26.82,25.63,15.6,7.88,
4/30/15,2015,4,SW,Treatment,P77870,7,1,N/A,11:41,26.85,25.64,15.6,7.88,FD
4/30/15,2015,4,SW,Control,P77870,8,2,N/A,11:44,26.67,12.26,7,8.16,
4/30/15,2015,4,SW,Treatment,P77870,9,3,N/A,11:48,26.76,25.6,15.58,8.02,
4/30/15,2015,4,SW,Control,P77870,10,4,N/A,11:50,26.82,13.31,7.65,8.15,
4/30/15,2015,4,SW,Treatment,P77870,11,5,N/A,11:52,26.86,25.32,15.39,8.28,
4/30/15,2015,4,SW,Control,P77870,12,6,N/A,11:54,26.74,13.9,8.02,8.21,
4/30/15,2015,4,SW,Control,P77870,13,6,N/A,11:55,26.74,13.94,8.04,8.21,FD
4/30/15,2015,4,PW,Treatment,P77872,1,1,1,12:16,28.95,25.85,15.71,7.03,
4/30/15,2015,4,PW,Treatment,P77872,2,1,2,12:23,27.11,26.23,15.99,7.23,
4/30/15,2015,4,PW,Treatment,P77872,3,1,3,12:31,26.78,24.56,14.9,6.98,
4/30/15,2015,4,PW,Treatment,P77872,4,1,4,12:39,26.84,26.94,16.48,6.74,
4/30/15,2015,4,PW,Control,P77872,5,2,5,12:26,27.9,13.33,7.65,6.88,
4/30/15,2015,4,PW,Control,P77872,6,2,6,12:28,27.3,14.03,8.09,7.14,
4/30/15,2015,4,PW,Control,P77872,7,2,7,12:42,27.51,13.73,7.9,6.89,
4/30/15,2015,4,PW,Control,P77872,8,2,8,12:52,27.52,17.05,9.99,6.75,
4/30/15,2015,4,PW,Treatment,P77872,9,3,9,12:50,28.5,22.68,13.62,7.48,
4/30/15,2015,4,PW,Treatment,P77872,10,3,10,12:59,27.84,26.12,15.91,6.99,
4/30/15,2015,4,PW,Treatment,P77872,11,3,11,13:06,27.63,25.39,15.43,6.91,
4/30/15,2015,4,PW,Treatment,P77872,12,3,12,13:17,27.68,26.21,15.97,7.06,
4/30/15,2015,4,PW,Control,P77872,13,4,13,12:56,27.46,13.98,8.06,7.07,
4/30/15,2015,4,PW,Control,P77872,14,4,14,13:04,27.18,15.99,9.32,6.79,
4/30/15,2015,4,PW,Control,P77872,15,4,15,13:09,26.96,14.12,8.14,7,
4/30/15,2015,4,PW,Control,P77872,16,4,16,13:20,27.35,14.86,8.6,6.92,
4/30/15,2015,4,PW,Treatment,P77872,17,5,17,13:35,27.34,28.08,17.24,6.86,
4/30/15,2015,4,PW,Treatment,P77872,18,5,18,13:46,27.27,25.75,15.68,6.77,
4/30/15,2015,4,PW,Treatment,P77872,19,5,19,13:56,28.49,27.88,17.08,6.9,
4/30/15,2015,4,PW,Treatment,P77872,20,5,20,13:53,27.67,25.35,15.41,6.81,
4/30/15,2015,4,PW,Control,P77872,21,6,21,13:26,27.29,16.05,9.36,6.94,
4/30/15,2015,4,PW,Control,P77872,22,6,22,13:38,27.99,13.45,7.71,6.97,
4/30/15,2015,4,PW,Control,P77872,23,6,23,13:49,27.04,14.79,8.57,6.91,
4/30/15,2015,4,PW,Control,P77872,24,6,24,13:44,27.1,14.89,8.63,6.77,
